year,month,expected_days,valid_days,completeness_pct,is_complete_period,mean_temperature_C,mean_max_temperature_C,mean_min_temperature_C,mean_diurnal_range_C,precipitation_mm,mean_relative_humidity_pct,mean_solar_radiation_kWh_m2_day,hot_day_count,frost_day_count,dry_day_count,heavy_rain_day_count,longest_dry_spell_days
2000,8,31,31,100.0,True,26.246774193548386,33.464193548387094,19.907096774193544,13.557096774193548,87.98,64.18064516129031,19.864193548387096,8,0,15,0,6
2000,9,30,30,100.0,True,21.499666666666663,28.15866666666666,15.994666666666667,12.163999999999998,135.6,73.93166666666666,15.890666666666664,0,0,15,1,5
2000,10,31,31,100.0,True,16.754516129032258,25.682580645161288,9.778709677419354,15.903870967741936,1.4700000000000002,57.027419354838706,16.47741935483871,0,0,31,0,31
2000,11,30,30,100.0,True,9.210333333333333,15.714333333333332,3.8763333333333336,11.837999999999997,110.53,73.64266666666666,9.219333333333333,0,7,18,1,5
2000,12,31,31,100.0,True,1.170967741935484,6.896129032258064,-3.215161290322581,10.111290322580649,56.579999999999984,77.53387096774192,8.761290322580646,0,25,20,0,9
2001,1,31,31,100.0,True,3.7329032258064516,10.371935483870969,-1.2919354838709678,11.663870967741936,74.87000000000002,79.30290322580646,10.438064516129034,0,22,23,0,8
2001,2,28,28,100.0,True,8.493214285714286,15.141785714285714,3.017857142857143,12.123928571428575,71.55,79.24678571428572,11.266071428571427,0,7,17,0,9
2001,3,31,31,100.0,True,8.862903225806452,15.384193548387096,3.053225806451612,12.330967741935483,174.01000000000005,76.1541935483871,16.381290322580647,0,9,20,4,7
2001,4,30,30,100.0,True,16.305666666666664,22.697999999999993,10.298666666666668,12.399333333333335,36.040000000000006,77.27366666666667,20.86466666666667,0,0,23,0,8
2001,5,31,31,100.0,True,21.018064516129034,28.071935483870963,14.233225806451616,13.838709677419352,76.14,68.19838709677421,22.44612903225807,0,0,17,0,8
2001,6,30,30,100.0,True,24.293000000000006,30.26066666666667,18.816,11.444666666666665,139.39000000000001,73.04,21.721333333333337,0,0,11,1,6
2001,7,31,31,100.0,True,26.046451612903226,32.81161290322581,19.938064516129028,12.873548387096776,123.76000000000002,68.72354838709677,20.106129032258064,5,0,11,1,5
2001,8,31,31,100.0,True,26.45741935483871,33.208709677419364,20.511290322580642,12.697419354838708,50.629999999999995,66.83322580645161,20.51516129032258,5,0,14,0,4
2001,9,30,30,100.0,True,21.151333333333337,28.47366666666667,14.831000000000001,13.642666666666667,92.23,64.86166666666666,18.086666666666666,0,0,19,0,6
2001,10,31,31,100.0,True,15.184516129032259,23.398064516129036,7.756451612903224,15.641612903225807,34.08000000000001,60.14354838709678,16.434516129032257,0,2,25,0,10
2001,11,30,30,100.0,True,13.656666666666666,21.901,7.6543333333333345,14.24666666666667,42.53,63.42999999999999,11.918000000000001,0,0,25,1,22
2001,12,31,31,100.0,True,8.451935483870969,15.62258064516129,3.054193548387097,12.568387096774195,58.14,74.24032258064516,9.584516129032256,0,11,24,0,9
2002,1,31,31,100.0,True,6.002903225806451,12.845806451612905,0.48677419354838714,12.359032258064515,126.13,80.37806451612904,9.754193548387097,0,17,20,1,6
2002,2,28,28,100.0,True,6.020714285714285,12.573571428571427,0.39464285714285713,12.17892857142857,52.15,74.48428571428572,14.242499999999998,0,11,25,1,12
2002,3,31,31,100.0,True,11.818709677419358,18.567741935483873,5.70741935483871,12.860322580645159,151.82000000000002,78.81193548387097,15.855161290322581,0,8,17,3,5
2002,4,30,30,100.0,True,17.906333333333336,24.376333333333328,11.689333333333336,12.687,53.650000000000006,74.50933333333333,19.881666666666664,0,0,20,0,7
2002,5,31,31,100.0,True,20.101935483870975,26.61193548387097,13.378387096774194,13.233548387096775,88.92,69.63774193548386,22.325483870967744,0,0,17,0,8
2002,6,30,30,100.0,True,25.74233333333333,32.760000000000005,19.160666666666668,13.599333333333332,51.82,61.98600000000001,24.073333333333334,3,0,17,0,7
2002,7,31,31,100.0,True,28.475161290322585,35.68838709677419,21.899677419354845,13.788709677419355,64.76,61.118387096774185,22.043548387096774,22,0,16,0,6
2002,8,31,31,100.0,True,27.134193548387096,34.60999999999999,20.501935483870966,14.108064516129033,77.64,58.96032258064516,20.135806451612908,16,0,15,0,11
2002,9,30,30,100.0,True,23.536,29.772666666666673,18.46066666666667,11.312000000000003,180.97,73.47299999999998,14.933333333333332,4,0,17,2,12
2002,10,31,31,100.0,True,17.708064516129035,22.90967741935484,13.288387096774194,9.621290322580647,102.17,83.10774193548387,10.938709677419356,0,0,17,1,9
2002,11,30,30,100.0,True,9.254333333333333,15.556999999999999,3.800333333333333,11.756666666666666,123.19,83.16466666666669,10.017333333333335,0,6,18,2,9
2002,12,31,31,100.0,True,4.266129032258066,9.98774193548387,-0.1170967741935485,10.10483870967742,151.96,85.46193548387096,8.414193548387097,0,15,21,1,5
2003,1,31,31,100.0,True,2.835161290322581,8.726774193548387,-2.0277419354838706,10.754516129032258,54.32,79.10516129032258,10.373225806451616,0,24,23,0,12
2003,2,28,28,100.0,True,5.713214285714286,11.546428571428574,0.7507142857142858,10.795714285714284,138.23,85.62999999999998,10.921428571428569,0,11,15,1,3
2003,3,31,31,100.0,True,12.090645161290322,17.541612903225808,7.293870967741935,10.247741935483871,170.17999999999998,84.79354838709679,13.818064516129034,0,1,16,2,8
2003,4,30,30,100.0,True,15.456999999999999,21.344999999999995,9.733,11.611999999999997,148.86,83.48566666666667,17.618,0,0,12,0,5
2003,5,31,31,100.0,True,20.248064516129034,25.274516129032254,15.71,9.564516129032256,179.48999999999998,84.05612903225806,17.70806451612903,0,0,15,2,6
2003,6,30,30,100.0,True,23.11966666666666,28.53533333333333,18.103,10.432333333333334,141.97000000000003,79.79066666666667,21.777666666666672,0,0,11,0,7
2003,7,31,31,100.0,True,25.198064516129037,30.19290322580645,20.853870967741933,9.339032258064519,213.95999999999998,82.13483870967741,20.95354838709678,0,0,5,1,2
2003,8,31,31,100.0,True,25.74709677419355,31.013870967741937,21.190322580645162,9.823548387096775,117.53999999999999,80.5241935483871,19.065806451612907,0,0,5,0,5
2003,9,30,30,100.0,True,21.160333333333337,27.399666666666665,15.686,11.713666666666667,63.40999999999999,73.42433333333332,19.38633333333333,0,0,22,1,9
2003,10,31,31,100.0,True,16.036451612903225,22.928709677419352,10.036129032258065,12.89258064516129,70.94,72.81774193548387,13.693225806451613,0,0,21,0,11
2003,11,30,30,100.0,True,12.828,19.778999999999996,6.869666666666666,12.909333333333334,94.07000000000002,73.33366666666666,11.114333333333331,0,4,19,1,7
2003,12,31,31,100.0,True,3.996451612903226,10.408709677419354,-1.3919354838709677,11.800645161290323,76.19999999999999,78.04838709677419,9.70741935483871,0,23,23,1,5
2004,1,31,31,100.0,True,3.5925806451612905,10.115806451612903,-1.882258064516129,11.998064516129032,53.55,79.91258064516127,9.886129032258063,0,24,24,0,7
